,0
H1,39.82984665936473
H2,35.71713033953998
H3,31.51799014238773
H4,26.19054764512596
H5,24.647951807228917
H6,30.06215224534502
H7,37.81924424972618
H8,51.398756845564066
H9,55.31353231106244
H10,60.83424424972617
H11,63.14956188389924
H12,65.92176889375685
H13,61.992765607886085
H14,58.758143483023
H15,56.19644578313253
H16,52.44983023001095
H17,51.80037239868565
H18,57.163581599123766
H19,64.00857612267251
H20,60.548472070098576
H21,56.37755750273823
H22,49.70215224534502
H23,50.66139101861993
H24,45.846626506024094
