Trial,Learning Rate,Gamma,Activation Function,Action Size,Validation Reward
0,4.528544365734492e-05,0.8328789854930649,tanh,1000,-163.2462799999999
1,0.0030200897692851305,0.9682157883289221,relu,100,-183.26101999999992
2,0.004408578268498596,0.9028017441490873,relu,1000,-166.49947399999988
3,0.0016266204459018583,0.82115830330732,relu,500,-164.05498399999988
4,0.0005038634564936078,0.9470440206895314,tanh,500,-156.50556799999987
5,0.0029521698809795455,0.8644395971500236,relu,100,-174.19926199999998
6,0.00011011614366291795,0.8888603790374893,tanh,100,-167.56009399999985
7,2.4508991279450614e-05,0.8067548563436904,tanh,500,-193.648082
8,7.865597435140835e-05,0.8970056494031671,tanh,200,-171.7060279999999
9,0.00037583270081104113,0.9381914859675121,relu,500,-168.2455099999998
10,1.1065053215072455e-05,0.989913437182428,tanh,200,-166.28377399999994
11,0.0005362684291594608,0.8455534889899436,tanh,1000,-156.99358399999983
12,0.0006007131972399706,0.9384587739874435,tanh,1000,-162.2573746172838
13,0.0007549947950641326,0.8346062755273523,tanh,1000,-163.2262459999999
14,0.00022683171621832562,0.8582041269315939,tanh,500,-174.63739999999984
15,0.00846709474392493,0.8042260350404087,tanh,1000,-170.77436599999993
16,0.0011031494281734304,0.9280305138234861,tanh,500,-167.78636599999987
17,0.0002540195348529042,0.8636719913770287,tanh,200,-158.73879199999985
18,0.0004529111621811353,0.9211593937568958,tanh,1000,-175.3717459999998
19,0.00017713058852557737,0.9636506390442761,tanh,500,-182.53300999999988
